flow_id,flow_duration_ms,packet_count,byte_count,forward_packet_count,backward_packet_count,forward_byte_count,backward_byte_count,packet_rate_pps,byte_rate_bps,flow_start_time,flow_end_time,ether_type,vlan_present,vlan_priority,broadcast_frame,multicast_frame,ip_version,ttl,dscp,ecn,ip_packet_length,fragmented,ip_header_length,hop_limit,transport_protocol,source_port,destination_port,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_window_size,tcp_retransmissions,udp_packet_count,mean_iat_ms,std_iat_ms,min_iat_ms,max_iat_ms,forward_mean_iat_ms,backward_mean_iat_ms,flow_active_time_ms,flow_idle_time_ms,mean_packet_size,median_packet_size,min_packet_size,max_packet_size,std_packet_size,variance_packet_size,packet_size_range,packet_size_skewness,packet_size_kurtosis,coefficient_of_variation_packet_size,end_to_end_latency_ms,jitter_ms,packet_loss_rate,throughput_mbps,goodput_mbps,bandwidth_utilization_pct,queueing_delay_ms,retransmission_rate,link_utilization_pct,qos_satisfaction_score,service_type,application_name,slice_type,service_priority,network_load_pct,cell_load_pct,active_users,device_type,mobility_state,time_of_day,signal_strength_dbm,sinr_db,rsrp_dbm,rsrq_db,cqi,network_slice_id,slice_resource_utilization_pct,radio_resource_blocks_used,handover_in_progress,service_class,application_id,slice_type_label,priority_level,allocated_slice,sla_satisfied,reward_score
c57a42f0-77f2-4c70-acc4-83dd0dbac820,3444386.7597016324,1490473,1385882565,,,,,432.7252146704661,402359.74130514613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.75,12.46,1.5,0.05,0.05,0.05,25.75,0.375,0.05,20.0,education,Interactive Whiteboard,eMBB,2,80.98566996144709,65.62526888056668,270,laptop,static,day,-90.53578523702355,22.88738872330405,-90.53578523702355,-7.635287858359876,10,eMBB,86.76538703114537,42,False,education,education.interactive_whiteboard,,,,False,
e6b4b163-863d-4bdd-9947-3b37396a2ef9,1638269.351557268,1037393,1411899248,,,,,633.2249327706088,861823.6353794767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.63,6.13,1.625,0.101,0.101,0.101,8.629999999999999,0.40625,0.101,0.0,healthcare,Telemedicine Consultation,URLLC,1,65.79456698704459,67.34238099653982,259,smartphone,pedestrian,day,-82.95962541900039,23.752431484292877,-82.95962541900039,-9.38754937061387,13,URLLC,81.03974920770708,127,False,healthcare,healthcare.telemedicine,,,,False,
3a2f9463-6cb7-4f76-973b-6b722bf9b4d5,3739378.6421440328,2219731,2880983722,,,,,593.6095839514347,770444.5037508315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.25,18.91,3.126,0.05,0.05,0.05,34.25,0.7815,0.05,20.0,education,Live Classroom,eMBB,2,79.73164209689772,85.23576141694566,201,laptop,static,day,-81.03721210023546,11.420548995859194,-81.03721210023546,-11.59749483482008,10,eMBB,88.71639216620343,106,False,education,education.live_classroom,,,,False,
e34d1514-50aa-40ed-9286-258842d69055,3666304.306466299,1502678,1980821981,,,,,409.86177752613474,540277.5700870715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.03,13.36,1.674,0.068,0.068,0.068,23.03,0.4185,0.068,20.0,education,Live Classroom,eMBB,2,74.49818251593344,73.97448451211571,288,laptop,static,day,-89.70958265555974,18.107347352780536,-89.70958265555974,-14.565495570769029,13,eMBB,63.74478488559628,256,False,education,education.live_classroom,,,,False,
dc650955-6b46-4034-bc67-cde2d430f6fd,86549964.71005218,3953189,842493764,,,,,45.67522370740914,9734.189578431478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.93,68.29,1.751,0.05,0.05,0.05,129.92999999999995,0.43775,0.05,60.0,agriculture,Weather Station,mMTC,4,78.80101578183067,85.73511660632488,358,sensor,static,day,-83.45295709486476,9.008136440424568,-83.45295709486476,-7.954281637850765,11,mMTC,66.83694826954641,94,False,agriculture,agriculture.weather_station,,,,False,
71a4280b-148d-4b85-a9ad-bb88fbb646fa,81167236.92716876,5597003,1096751133,,,,,68.95643133721778,13512.239353564333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.32,47.17,1.889,0.05,0.05,0.05,99.32,0.47225,0.05,60.0,agriculture,Smart Irrigation,mMTC,4,86.38294302537867,86.66209166888174,297,sensor,static,day,-85.9317939526313,11.578390137433866,-85.9317939526313,-6.658895733592496,11,mMTC,70.65812100682564,191,False,agriculture,agriculture.smart_irrigation,,,,False,
31d299f2-0fb9-47bf-9f57-583e1125e283,3038939.872819119,2036391,3274659180,,,,,670.0991415506062,1077566.2952826605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.76,30.41,3.04,0.063,0.063,0.063,20.75999999999999,0.76,0.063,20.0,general,Video Streaming,eMBB,3,88.41636469281235,81.20088463116484,355,smartphone,pedestrian,day,-84.31720245940583,18.169724660724548,-84.31720245940583,-12.551890748485738,10,eMBB,68.09843480352833,256,False,general,general.video_streaming,,,,False,
01e502c2-155a-4a3a-891c-424e28858637,82392400.02870657,10678587,5734769180,,,,,129.60645637558127,69603.1330372159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9,9.49,1.495,0.05,0.05,0.05,4.899999999999999,0.37375,0.05,20.0,healthcare,ECG Streaming,URLLC,2,78.92374359436616,82.11535627474686,415,sensor,pedestrian,day,-90.41903856071791,14.939967057299803,-90.41903856071791,-14.678997560959623,9,URLLC,68.03222627927109,74,False,healthcare,healthcare.ecg_streaming,,,,False,
788a194b-d70a-410a-aab8-157cebbd170c,2976893.443518173,2602196,2854858618,,,,,874.1313887690434,959005.9816091143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.33,21.85,2.731,0.072,0.072,0.072,24.330000000000013,0.68275,0.072,20.0,education,Digital Library,eMBB,3,79.17950128696256,82.9478567679744,254,laptop,static,day,-87.08736197878672,18.094740756922775,-87.08736197878672,-5.854524102594565,12,eMBB,67.94640499494157,83,False,education,education.digital_library,,,,False,
9e7322e0-9245-4d26-b9ad-22835aa7a1ca,1592560.3504661657,1051155,1074172582,,,,,660.0409207050217,674494.1137744074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.75,9.04,2.269,0.05,0.05,0.05,11.75,0.56725,0.05,0.0,healthcare,Telemedicine Consultation,URLLC,1,78.47443224168227,83.67534529130644,309,smartphone,pedestrian,day,-87.01198989719205,29.945827342892425,-87.01198989719205,-12.806792408427167,13,URLLC,75.28578881029394,43,False,healthcare,healthcare.telemedicine,,,,False,
